Janelia_ID,Line,CGID,Gene,Flybase_ID,Flybase_Link,Expressed,Eve_Expression,Seq_coord_of_fragment,Fragment_length,Transmembrane_Domain,Signal_Domain,Interpro_Description_GO_Term_Name,Functional_Group,SMART_ID,PFAM_ID,aCC,RP2,Us,Pcc,Els,
GMR24G11,R24G11,CG4531,aos,FBgn0004569,http://flybase.org/reports/FBgn0004569.htm,"CNS small subset, EVE lateral cells, Head, Other: bodywall, Other: gut/internal",Lateral cells,3L:16470093..16473771,3678,TMhelix,SignalP-noTM,"GO:0001654~eye development,GO:0007455~eye-antennal disc morphogenesis,GO:0007472~wing disc morphogenesis,GO:0007474~imaginal disc-derived wing vein specification,GO:0007476~imaginal disc-derived wing morphogenesis,GO:0007482~haltere development,GO:0007601~visual perception,GO:0009948~anterior/posterior axis specification,GO:0009950~dorsal/ventral axis specification,GO:0016318~ommatidial rotation,GO:0035215~genital disc development,GO:0042059~negative regulation of epidermal growth factor receptor signaling pathway,GO:0043065~positive regulation of apoptotic process,GO:0050768~negative regulation of neurogenesis,GO:0050896~response to stimulus,GO:0060233~oenocyte delamination,GO:0070373~negative regulation of ERK1 and ERK2 cascade,GO:2000737~negative regulation of stem cell differentiation,,GO:0005615~extracellular space,,GO:0004888~transmembrane signaling receptor activity,GO:0005231~excitatory extracellular ligand-gated monoatomic ion channel activity,GO:0022848~acetylcholine-gated monoatomic cation-selective channel activity,GO:0042166~acetylcholine binding,GO:1904315~transmitter-gated monoatomic ion channel activity involved in regulation of postsynaptic membrane potential,",Synapse,,"PF11581:Argos,",?,?,no,?,no,UNCLEAR STAINING
GMR27D10,R27D10,CG5481,robo2,FBgn0002543,http://flybase.org/reports/FBgn0002543.htm,"EVE lateral cells, Head, Scattered",Lateral cells,2L:1394727..1395941,1214,TMhelix,,"GO:0001764~neuron migration,GO:0003151~outflow tract morphogenesis,GO:0007156~homophilic cell adhesion via plasma membrane adhesion molecules,GO:0007411~axon guidance,GO:0007419~ventral cord development,GO:0007432~salivary gland boundary specification,GO:0008039~synaptic target recognition,GO:0008406~gonad development,GO:0016199~axon midline choice point recognition,GO:0016201~synaptic target inhibition,GO:0016319~mushroom body development,GO:0022409~positive regulation of cell-cell adhesion,GO:0030335~positive regulation of cell migration,GO:0035050~embryonic heart tube development,GO:0035385~Roundabout signaling pathway,GO:0042685~cardioblast cell fate specification,GO:0048036~central complex development,GO:0070593~dendrite self-avoidance,GO:2000274~regulation of epithelial cell migration, open tracheal system,,GO:0005886~plasma membrane,GO:0030424~axon,GO:0043005~neuron projection,,GO:0003682~chromatin binding,GO:0003713~transcription coactivator activity,GO:0004888~transmembrane signaling receptor activity,GO:0005112~Notch binding,GO:0005509~calcium ion binding,GO:0005515~protein binding,GO:0030941~chloroplast targeting sequence binding,GO:0035035~histone acetyltransferase binding,GO:0050699~WW domain binding,",All three,"SM00060:FN3,SM00408:IGc2,SM00409:IG,","PF00041:fn3,PF07679:I-set,PF13927:Ig_3,",no,no,yes,no,?,
GMR28C12,R28C12,CG17348,drl,FBgn0015380,http://flybase.org/reports/FBgn0015380.htm,"CNS small subset, EVE lateral cells, Midline",Lateral cells,2L:19200005..19203356,3351,TMhelix,SignalP-noTM,"GO:0007165~signal transduction,GO:0007169~cell surface receptor protein tyrosine kinase signaling pathway,GO:0007275~multicellular organism development,GO:0007409~axonogenesis,GO:0007411~axon guidance,GO:0007416~synapse assembly,GO:0007435~salivary gland morphogenesis,GO:0007482~haltere development,GO:0007611~learning or memory,GO:0007613~memory,GO:0008355~olfactory learning,GO:0016199~axon midline choice point recognition,GO:0016203~muscle attachment,GO:0016204~determination of muscle attachment site,GO:0016310~phosphorylation,GO:0016319~mushroom body development,GO:0033674~positive regulation of kinase activity,GO:0060070~canonical Wnt signaling pathway,GO:0061643~chemorepulsion of axon,GO:0070983~dendrite guidance,,GO:0005886~plasma membrane,GO:0016020~membrane,GO:0030424~axon,GO:0030425~dendrite,GO:0043235~receptor complex,,GO:0004674~protein serine/threonine kinase activity,GO:0005515~protein binding,GO:0005524~ATP binding,GO:0031267~small GTPase binding,GO:0046872~metal ion binding,GO:0051020~GTPase binding,GO:0072518~Rho-dependent protein serine/threonine kinase activity,GO:0106310~protein serine kinase activity,",Axon Guidance and Synapse,"SM00469:WIF,","PF02019:WIF,PF07714:PK_Tyr_Ser-Thr,",yes,?,?,yes,?,
GMR29A08,R29A08,CG12047,mud,FBgn0002873,http://flybase.org/reports/FBgn0002873.htm,"CNS small subset, CNS superficial layer, EVE lateral cells, Head, Other: bodywall, Other: gut/internal",Lateral cells,X:14150070..14150549,479,TMhelix,,"GO:0000132~establishment of mitotic spindle orientation,GO:0007058~spindle assembly involved in female meiosis II,GO:0007411~axon guidance,GO:0016319~mushroom body development,GO:0034454~microtubule anchoring at centrosome,GO:0040040~thermosensory behavior,GO:0055059~asymmetric neuroblast division,,GO:0005794~Golgi apparatus,GO:0005813~centrosome,GO:0005819~spindle,GO:0005938~cell cortex,GO:0016020~membrane,GO:0043227~membrane-bounded organelle,GO:0043229~intracellular organelle,GO:0045179~apical cortex,GO:0045180~basal cortex,GO:0051233~spindle midzone,GO:0061689~tricellular tight junction,,GO:0004672~protein kinase activity,GO:0004674~protein serine/threonine kinase activity,GO:0005515~protein binding,GO:0005524~ATP binding,GO:0008349~MAP kinase kinase kinase kinase activity,GO:0042656~JUN kinase kinase kinase kinase activity,GO:0106310~protein serine kinase activity,",Axon Guidance,,,?,?,no,?,no,UNCLEAR STAINING
GMR29A12,R29A12,CG10521,CG32599,FBgn0260482,http://flybase.org/reports/FBgn0260482.htm,"CNS small subset, EVE lateral cells, Head",Lateral cells,X:14586463..14587066,603,TMhelix,,"GO:0008150~biological_process,,GO:0005575~cellular_component,GO:0016020~membrane,,GO:0004713~protein tyrosine kinase activity,GO:0004715~non-membrane spanning protein tyrosine kinase activity,GO:0005102~signaling receptor binding,GO:0005524~ATP binding,",None,,,no,no,?,no,no,
GMR29B05,R29B05,CG1954,not,FBgn0013717,http://flybase.org/reports/FBgn0013717.htm,"CNS small subset, EVE lateral cells, Head, Other: gut/internal",Lateral cells,3R:24867935..24868644,709,TMhelix,,"GO:0006325~chromatin organization,GO:0006355~regulation of DNA-templated transcription,GO:0006508~proteolysis,GO:0006511~ubiquitin-dependent protein catabolic process,GO:0007412~axon target recognition,GO:0008347~glial cell migration,GO:0016579~protein deubiquitination,GO:0021782~glial cell development,GO:0045893~positive regulation of DNA-templated transcription,,GO:0000124~SAGA complex,GO:0005634~nucleus,GO:0071819~DUBm complex,,GO:0000978~RNA polymerase II cis-regulatory region sequence-specific DNA binding,GO:0000981~DNA-binding transcription factor activity, RNA polymerase II-specific,GO:0003677~DNA binding,",TF,,"PF00443:UCH,PF02148:zf-UBP,",no,no,no,no,?,
GMR29B08,R29B08,CG10295,mys,FBgn0004657,http://flybase.org/reports/FBgn0004657.htm,"CNS small subset, EVE lateral cells, Head, Other: bodywall, Other: gut/internal, Poor stain",Lateral cells,3R:2179859..2180672,813,TMhelix,SignalP-noTM,"GO:0003344~pericardium morphogenesis,GO:0006930~substrate-dependent cell migration, cell extension,GO:0007015~actin filament organization,GO:0007157~heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules,GO:0007160~cell-matrix adhesion,GO:0007229~integrin-mediated signaling pathway,GO:0007298~border follicle cell migration,GO:0007377~germ-band extension,GO:0007391~dorsal closure,GO:0007411~axon guidance,GO:0007417~central nervous system development,GO:0007419~ventral cord development,GO:0007431~salivary gland development,GO:0007476~imaginal disc-derived wing morphogenesis,GO:0007494~midgut development,GO:0007508~larval heart development,GO:0007517~muscle organ development,GO:0007601~visual perception,GO:0007608~sensory perception of smell,GO:0007629~flight behavior,GO:0008340~determination of adult lifespan,GO:0008360~regulation of cell shape,GO:0016203~muscle attachment,GO:0016339~calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules,GO:0016340~calcium-dependent cell-matrix adhesion,GO:0016477~cell migration,GO:0021551~central nervous system morphogenesis,GO:0030336~negative regulation of cell migration,GO:0030718~germ-line stem cell population maintenance,GO:0031589~cell-substrate adhesion,GO:0033627~cell adhesion mediated by integrin,GO:0034446~substrate adhesion-dependent cell spreading,GO:0035001~dorsal trunk growth, open tracheal system,GO:0035099~hemocyte migration,GO:0035160~maintenance of epithelial integrity, open tracheal system,GO:0045214~sarcomere organization,GO:0048803~imaginal disc-derived male genitalia morphogenesis,GO:0051492~regulation of stress fiber assembly,GO:0090129~positive regulation of synapse maturation,GO:0098609~cell-cell adhesion,,GO:0005886~plasma membrane,GO:0005925~focal adhesion,GO:0005927~muscle tendon junction,GO:0008305~integrin complex,GO:0009925~basal plasma membrane,GO:0009986~cell surface,GO:0016324~apical plasma membrane,GO:0016328~lateral plasma membrane,GO:0030425~dendrite,GO:0031252~cell leading edge,GO:0042734~presynaptic membrane,GO:0043034~costamere,GO:0045211~postsynaptic membrane,,GO:0000978~RNA polymerase II cis-regulatory region sequence-specific DNA binding,GO:0000981~DNA-binding transcription factor activity, RNA polymerase II-specific,GO:0003700~DNA-binding transcription factor activity,GO:0046982~protein heterodimerization activity,",All three,"SM00187:INB,SM01241:Integrin_b_cyt,SM01242:Integrin_B_tail,","PF00362:Integrin_beta,PF07965:Integrin_B_tail,PF07974:EGF_2,PF08725:Integrin_b_cyt,",yes,no,no,yes,no,
GMR29C01,R29C01,CG18455,ogre,FBgn0004646,http://flybase.org/reports/FBgn0004646.htm,"EVE lateral cells, Head, Other: gut/internal, Scattered",Lateral cells,2R:3920903..3921824,921,TMhelix,,"GO:0007602~phototransduction,GO:0007603~phototransduction, visible light,GO:0007632~visual behavior,GO:0010496~intercellular transport,GO:0034220~monoatomic ion transmembrane transport,,GO:0005886~plasma membrane,GO:0005921~gap junction,GO:0016020~membrane,GO:0016323~basolateral plasma membrane,,GO:0031625~ubiquitin protein ligase binding,",None,,"PF00876:Innexin,",?,no,no,no,no,UNCLEAR STAINING
GMR31A02,R31A02,CG8355,spi,FBgn0005672,http://flybase.org/reports/FBgn0005672.htm,"EVE lateral cells, Head, Other: gut/internal, Scattered",Lateral cells,2R:11772038..11772888,850,TMhelix,SignalP-noTM,"GO:0001713~ectodermal cell fate determination,GO:0003015~heart process,GO:0007166~cell surface receptor signaling pathway,GO:0007173~epidermal growth factor receptor signaling pathway,GO:0007298~border follicle cell migration,GO:0007391~dorsal closure,GO:0007421~stomatogastric nervous system development,GO:0007422~peripheral nervous system development,GO:0007438~oenocyte development,GO:0007476~imaginal disc-derived wing morphogenesis,GO:0008284~positive regulation of cell population proliferation,GO:0008355~olfactory learning,GO:0010629~negative regulation of gene expression,GO:0016318~ommatidial rotation,GO:0035225~determination of genital disc primordium,GO:0035277~spiracle morphogenesis, open tracheal system,GO:0043066~negative regulation of apoptotic process,GO:0043703~photoreceptor cell fate determination,GO:0046530~photoreceptor cell differentiation,GO:0048149~behavioral response to ethanol,GO:0048865~stem cell fate commitment,GO:0050769~positive regulation of neurogenesis,GO:0061331~epithelial cell proliferation involved in Malpighian tubule morphogenesis,GO:0070374~positive regulation of ERK1 and ERK2 cascade,GO:1903688~positive regulation of border follicle cell migration,,GO:0000139~Golgi membrane,GO:0005615~extracellular space,GO:0005783~endoplasmic reticulum,GO:0005789~endoplasmic reticulum membrane,GO:0005886~plasma membrane,GO:0016020~membrane,,GO:0003823~antigen binding,GO:0008046~axon guidance receptor activity,GO:0008201~heparin binding,GO:0042802~identical protein binding,GO:0042803~protein homodimerization activity,GO:0098632~cell-cell adhesion mediator activity,",Axon Guidance,"SM00181:EGF,",,no,no,no,no,no,
GMR32C04,R32C04,CG11502,stan,FBgn0024836,http://flybase.org/reports/FBgn0024836.htm,"EVE lateral cells, Head",Lateral cells,3R:8100335..8104125,3790,TMhelix,SignalP-noTM,"GO:0001736~establishment of planar polarity,GO:0001737~establishment of imaginal disc-derived wing hair orientation,GO:0001738~morphogenesis of a polarized epithelium,GO:0007156~homophilic cell adhesion via plasma membrane adhesion molecules,GO:0007163~establishment or maintenance of cell polarity,GO:0007166~cell surface receptor signaling pathway,GO:0007186~G protein-coupled receptor signaling pathway,GO:0007189~adenylate cyclase-activating G protein-coupled receptor signaling pathway,GO:0007367~segment polarity determination,GO:0007409~axonogenesis,GO:0007411~axon guidance,GO:0016043~cellular component organization,GO:0016318~ommatidial rotation,GO:0016319~mushroom body development,GO:0016339~calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules,GO:0016358~dendrite development,GO:0030154~cell differentiation,GO:0035159~regulation of tube length, open tracheal system,GO:0042067~establishment of ommatidial planar polarity,GO:0045773~positive regulation of axon extension,GO:0048057~R3/R4 development,GO:0048513~animal organ development,GO:0048731~system development,GO:0048813~dendrite morphogenesis,GO:0050770~regulation of axonogenesis,GO:0051963~regulation of synapse assembly,GO:0070593~dendrite self-avoidance,GO:0098609~cell-cell adhesion,GO:1902669~positive regulation of axon guidance,,GO:0005886~plasma membrane,GO:0005911~cell-cell junction,GO:0016020~membrane,GO:0016324~apical plasma membrane,,GO:0000976~transcription cis-regulatory region binding,GO:0000978~RNA polymerase II cis-regulatory region sequence-specific DNA binding,GO:0001227~DNA-binding transcription repressor activity, RNA polymerase II-specific,GO:0003677~DNA binding,GO:0003700~DNA-binding transcription factor activity,GO:0008270~zinc ion binding,",All three,"SM00008:HormR,SM00112:CA,SM00179:EGF_CA,SM00180:EGF_Lam,SM00181:EGF,SM00282:LamG,SM00303:GPS,","PF00002:7tm_2,PF00008:EGF,PF00028:Cadherin,PF00053:Laminin_EGF,PF02210:Laminin_G_2,PF16489:GAIN,",?,?,no,?,no,
GMR32G07,R32G07,CG10601,rst,FBgn0003285,http://flybase.org/reports/FBgn0003285.htm,"EVE lateral cells, Head",Lateral cells,3L:12700637..12701107,470,TMhelix,SignalP-noTM,"GO:0001745~compound eye morphogenesis,GO:0001751~compound eye photoreceptor cell differentiation,GO:0007156~homophilic cell adhesion via plasma membrane adhesion molecules,GO:0007520~myoblast fusion,GO:0008407~chaeta morphogenesis,GO:0016202~regulation of striated muscle tissue development,GO:0046666~retinal cell programmed cell death,GO:0046667~compound eye retinal cell programmed cell death,GO:0048749~compound eye development,GO:0098609~cell-cell adhesion,GO:0098742~cell-cell adhesion via plasma-membrane adhesion molecules,GO:1901739~regulation of myoblast fusion,,GO:0005886~plasma membrane,GO:0005911~cell-cell junction,GO:0005912~adherens junction,GO:0016324~apical plasma membrane,GO:0098636~protein complex involved in cell adhesion,,GO:0005509~calcium ion binding,GO:0008201~heparin binding,GO:0048495~Roundabout binding,",None,"SM00408:IGc2,SM00409:IG,","PF07679:I-set,PF08205:C2-set_2,PF13927:Ig_3,",no,no,no,no,no,
GMR37F01,R37F01,CG1004,rdgA,FBgn0261549,http://flybase.org/reports/FBgn0261549.htm,"EVE lateral cells, Head, Other: bodywall, Scattered",Lateral cells,3L:1463838..1465496,1658,TMhelix,,"GO:0006654~phosphatidic acid biosynthetic process,GO:0006661~phosphatidylinositol biosynthetic process,GO:0007205~protein kinase C-activating G protein-coupled receptor signaling pathway,GO:0007601~visual perception,GO:0007602~phototransduction,GO:0007605~sensory perception of sound,GO:0007608~sensory perception of smell,GO:0016056~G protein-coupled opsin signaling pathway,GO:0016059~negative regulation of opsin-mediated signaling pathway,GO:0035556~intracellular signal transduction,GO:0043052~thermotaxis,GO:0045494~photoreceptor cell maintenance,GO:0046339~diacylglycerol metabolic process,GO:0046834~lipid phosphorylation,GO:0051966~regulation of synaptic transmission, glutamatergic,,GO:0005634~nucleus,GO:0016020~membrane,,GO:0004725~protein tyrosine phosphatase activity,",Synapse,"SM00045:DAGKa,SM00046:DAGKc,SM00109:C1,SM00248:ANK,","PF00130:C1_1,PF00609:DAGK_acc,PF00781:DAGK_cat,PF12796:Ank_2,PF13637:Ank_4,",no,no,no,no,no,
